,reviewContent,rating,clean_teks
7,bima,1,bima
8,baru 10 bulan layarnya dah bergaris,1,baru bulan layar dah gar
11,"Mau tanya ini cicilnya pake apa ya,cc bkn?",1,mau tanya ini cicil pake apa yacc bkn
13,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,1,kirim barang tidak sesuai janji kata express hari dari hari jumat barang sampai hari rabu moga barang awet saja
15,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",1,bagaimana tv led saya merek sharp hitam lc lei sekarang mati total baru bln mana saya harus hubung dan minta bantu mohon bijak dan solusi soal masih garansi kepada pihak lazada saya mohon bantu terimakasih
34,Sudah cape2 transfer tapi pesanan ditolak,1,sudah cape transfer tapi pesan tolak
50,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",1,laptop ini milik spesifikasi yang bagus dan harga yang jangkau namun pada tab spesifikasi utama produk itu emang intel core i atau salah buat di judul kata core i
55,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,1,barang udah sampai tapi pas dinyalain g bisa gmn tanggung jawab lazada
59,untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,1,untuk pasang di tembok apa ad pihak dari lazada yg memasanga terima kasih
78,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,1,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe
112,kampret kaga kebaca!!,1,kampret kaga baca
167,"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",2,kirim sangat lama tgl di pesan tgl barang baru kemas tgl baru ambil ekspedisi tgl baru sampai masih dijabotabek tapi lama
168,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",1,barang tanpa kemas tanpa lindung apa hanya dus tv saja liat dus sobek dikit sudah mulai curiga kayak pecah ini eeeeellllaaaa pas buka pecah beneran bad seller bener bener bad seller mau untung aja tanpa peduli ada produk kalo gak ada untung n pelit paking ya jgn jual barang sudah retur mudah mudah barang cepat di kirim lg d
173,Pengiriman tidak sesuai tanggal yang tertera,2,kirim tidak sesuai tanggal yang tera
179,Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,1,jangan pernah beli disiniparah bangetbarang belum sampe udh mi ggu alesan nya gak jelas ganggu dll
180,hati hati ini tv ga bisa pake USB,1,hati hati ini tv ga bisa pake usb
223,Ini spek ram.nya 2GB atau 4GB,1,ini spek ram gb atau gb
224,"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",1,gan saya saran untuk lebih berhatihati dalam beli flashdisk yang kirim ke saya adalah flashdisk rekondisi daur ulang bekas jangan tipu oleh harga mas dosa mas bohong di flashdisknya ada tulis nama aryo yang sengaja hapus tp kurang bersih file yang kirim ke flashdisk juga error makan duit haram mas kenyang tp ga berkah
225,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",2,barang cepat sampai kualitas fd kurang bagus file yang di copy sering corrupt
226,Palsu,1,palsu
229,"korup terus klo di copy ke fd,mengecewakan",1,korup terus klo di copy ke fdmengecewakan
290,ram 8gb atau 4gb?,2,ram gb atau gb
294,Mau cicilan gmn caranya6,1,mau cicil gmn cara
303,"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",1,barang belum terimapihak lazada bilang sidah terima cek di jne lhoksukon aceh utara barang tidak adaada masalah tigas tdk ramah dan tdk ada solusk mana yg benar email ke cs jne sama cs lazada tdk ada reapon bagaimana nasih barang saya harga jt an
364,"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",1,gmn nih lazada saya liat iklan flashdisk tapi yg kirim koq malah flashdrivemohon penjelasannyabarang sdh saya bukasaya br x ini kecewa
395,Barang yg dikirim tidak seperti yang di gambar,2,barang yg kirim tidak seperti yang di gambar
400,Knpa prosesnya lama? Apa gagal atau sya harus pesan lagi,2,knpa proses lama apa gagal atau sya harus pesan lagi
